id,State,City,Forecast Number,Date,Main Condition,Condition Description,Icon,Low Temperature,High Temperature,Humidity Percentage,Wind MPH,Wind Direction,Rain Inches,Snow Inches,Pressure,Cloud Percent,UTC Timestamp,Timezone Offset
45,Indiana,Indianapolis,5,Fri 11/5,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,36.18,50.07,35,4,SE,0,0,1026,0,1636131600,-14400
46,Indiana,Northern Indiana,1,Mon 11/1,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,34.47,46.51,50,14,W,0,0,1026,41,1635786000,-14400
47,Indiana,Northern Indiana,2,Tue 11/2,Clouds,few clouds,http://openweathermap.org/img/wn/02d@2x.png,31.89,43.99,51,14,W,0,0,1027,21,1635872400,-14400
48,Indiana,Northern Indiana,3,Wed 11/3,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,31.17,44.44,50,6,W,0,0,1029,42,1635958800,-14400
49,Indiana,Northern Indiana,4,Thu 11/4,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,31.14,44.55,50,7,SW,0,0,1026,25,1636045200,-14400
50,Indiana,Northern Indiana,5,Fri 11/5,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,31.84,47.61,52,7,SW,0,0,1026,2,1636131600,-14400
51,Iowa,Davenport/Quad Cities,1,Mon 11/1,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,32.25,46.27,53,12,SW,0,0,1028,100,1635786000,-18000
52,Iowa,Davenport/Quad Cities,2,Tue 11/2,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,30.52,44.71,43,11,W,0,0,1030,0,1635872400,-18000
53,Iowa,Davenport/Quad Cities,3,Wed 11/3,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,29.23,44.17,41,5,NW,0,0,1030,65,1635958800,-18000
54,Iowa,Davenport/Quad Cities,4,Thu 11/4,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,32.68,49.15,45,8,SW,0,0,1026,60,1636045200,-18000
55,Iowa,Davenport/Quad Cities,5,Fri 11/5,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,33.93,51.37,44,11,S,0,0,1024,2,1636131600,-18000
56,Iowa,Des Moines,1,Mon 11/1,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,34.86,47.97,47,11,W,0,0,1029,100,1635786000,-18000
57,Iowa,Des Moines,2,Tue 11/2,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,31.03,46.04,43,7,W,0,0,1031,0,1635872400,-18000
58,Iowa,Des Moines,3,Wed 11/3,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,31.53,47.17,46,6,S,0,0,1030,61,1635958800,-18000
59,Iowa,Des Moines,4,Thu 11/4,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,40.03,51.8,47,11,S,0,0,1025,58,1636045200,-18000
60,Iowa,Des Moines,5,Fri 11/5,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,35.94,53.13,51,16,S,0,0,1020,0,1636131600,-18000
61,Kansas,Dodge City,1,Mon 11/1,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,35.2,54.79,45,14,E,0,0,1024,88,1635789600,-18000
62,Kansas,Dodge City,2,Tue 11/2,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,38.68,40.77,78,12,NE,2.43,0,1029,100,1635876000,-18000
63,Kansas,Dodge City,3,Wed 11/3,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,38.75,42.04,89,7,E,1.92,0,1029,100,1635962400,-18000
64,Kansas,Dodge City,4,Thu 11/4,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,36.3,57.38,56,14,SE,0,0,1023,0,1636048800,-18000
65,Kansas,Dodge City,5,Fri 11/5,Clouds,few clouds,http://openweathermap.org/img/wn/02d@2x.png,41.04,64.8,48,22,S,0,0,1013,12,1636135200,-18000
66,Kansas,Goodland,1,Mon 11/1,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,30.58,48.88,51,14,E,0,0,1025,79,1635789600,-21600
67,Kansas,Goodland,2,Tue 11/2,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,36.37,39.6,73,13,SE,0.3,0,1028,100,1635876000,-21600
68,Kansas,Goodland,3,Wed 11/3,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,36.77,54.73,59,11,SE,0.71,0,1024,61,1635962400,-21600
69,Kansas,Goodland,4,Thu 11/4,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,38.44,62.87,37,15,SE,0,0,1018,0,1636048800,-21600
70,Kansas,Goodland,5,Fri 11/5,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,39.09,67.44,30,15,SE,0,0,1009,0,1636135200,-21600
71,Kansas,Topeka,1,Mon 11/1,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,40.41,46.42,70,10,NE,0.36,0,1030,100,1635789600,-18000
72,Kansas,Topeka,2,Tue 11/2,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,38.84,47.01,59,6,N,0,0,1030,100,1635876000,-18000
73,Kansas,Topeka,3,Wed 11/3,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,37.22,50.52,40,7,E,0,0,1029,93,1635962400,-18000
74,Kansas,Topeka,4,Thu 11/4,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,37.67,53.8,45,10,S,0,0,1026,5,1636048800,-18000
75,Kansas,Topeka,5,Fri 11/5,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,37.06,56.71,51,17,SE,0,0,1020,0,1636135200,-18000
76,Kansas,Wichita,1,Mon 11/1,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,38.93,53.65,43,12,NE,0,0,1027,83,1635789600,-18000
77,Kansas,Wichita,2,Tue 11/2,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,41.02,41.83,90,11,NE,19.6,0,1029,100,1635876000,-18000
78,Kansas,Wichita,3,Wed 11/3,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,40.75,45.5,73,9,NE,4.43,0,1028,100,1635962400,-18000
79,Kansas,Wichita,4,Thu 11/4,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,39.99,53.22,61,8,SE,0,0,1026,66,1636048800,-18000
80,Kansas,Wichita,5,Fri 11/5,Clouds,few clouds,http://openweathermap.org/img/wn/02d@2x.png,40.1,58.91,55,18,SE,0,0,1018,15,1636135200,-18000
81,Kentucky,Jackson,1,Mon 11/1,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,44.64,59.2,46,5,W,0,0,1025,3,1635786000,-14400
82,Kentucky,Jackson,2,Tue 11/2,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,38.32,46.69,79,5,NW,2.42,0,1028,100,1635872400,-14400
83,Kentucky,Jackson,3,Wed 11/3,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,35.28,47.1,44,7,N,0,0,1026,100,1635958800,-14400
84,Kentucky,Jackson,4,Thu 11/4,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,33.8,47.93,45,6,N,0,0,1023,100,1636045200,-14400
85,Kentucky,Jackson,5,Fri 11/5,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,29.66,50.32,38,6,NE,0,0,1025,0,1636131600,-14400
86,Kentucky,Louisville,1,Mon 11/1,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,38.97,53.67,44,10,NW,0,0,1027,59,1635786000,-14400
87,Kentucky,Louisville,2,Tue 11/2,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,38.43,51.37,46,7,NW,0,0,1028,26,1635872400,-14400
88,Kentucky,Louisville,3,Wed 11/3,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,35.62,46.67,43,7,NE,0,0,1028,100,1635958800,-14400
89,Kentucky,Louisville,4,Thu 11/4,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,31.32,49.17,40,7,N,0,0,1025,2,1636045200,-14400
90,Kentucky,Louisville,5,Fri 11/5,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,31.71,51.49,40,6,NE,0,0,1026,0,1636131600,-14400
91,Kentucky,Paducah,1,Mon 11/1,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,38.26,56.35,39,11,N,1.94,0,1028,83,1635786000,-18000
92,Kentucky,Paducah,2,Tue 11/2,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,41.4,52.88,60,7,N,2.88,0,1029,92,1635872400,-18000
93,Kentucky,Paducah,3,Wed 11/3,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,38.21,49.26,38,9,NE,0,0,1028,100,1635958800,-18000
94,Kentucky,Paducah,4,Thu 11/4,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,32.34,51.49,37,9,N,0,0,1026,0,1636045200,-18000
95,Kentucky,Paducah,5,Fri 11/5,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,33.13,55.08,37,6,NE,0,0,1025,0,1636131600,-18000
96,Michigan,Detroit/Pontiac,1,Mon 11/1,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,34.54,46.54,48,16,W,0,0,1022,6,1635786000,-14400
97,Michigan,Detroit/Pontiac,2,Tue 11/2,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,33.15,42.84,50,13,W,0,0,1024,48,1635872400,-14400
98,Michigan,Detroit/Pontiac,3,Wed 11/3,Clouds,few clouds,http://openweathermap.org/img/wn/02d@2x.png,30.4,42.19,44,8,W,0,0,1028,24,1635958800,-14400
99,Michigan,Detroit/Pontiac,4,Thu 11/4,Clouds,few clouds,http://openweathermap.org/img/wn/02d@2x.png,30.52,42.93,46,8,SW,0,0,1025,20,1636045200,-14400
100,Michigan,Detroit/Pontiac,5,Fri 11/5,Clouds,few clouds,http://openweathermap.org/img/wn/02d@2x.png,32.97,48.99,59,10,SW,0,0,1024,11,1636131600,-14400
101,Michigan,Gaylord,1,Mon 11/1,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,35.17,41.63,59,17,W,0.1,1.83,1019,85,1635786000,-14400
102,Michigan,Gaylord,2,Tue 11/2,Snow,snow,http://openweathermap.org/img/wn/13d@2x.png,31.51,38.07,63,13,W,0,4.95,1022,68,1635872400,-14400
103,Michigan,Gaylord,3,Wed 11/3,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,28.53,37.06,73,9,W,0,3.42,1027,99,1635958800,-14400
104,Michigan,Gaylord,4,Thu 11/4,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,28.72,38.95,63,9,SW,0,1.69,1023,90,1636045200,-14400
105,Michigan,Gaylord,5,Fri 11/5,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,29.93,47.12,69,11,SW,0,0,1021,56,1636131600,-14400
106,Michigan,Grand Rapids,1,Mon 11/1,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,36.68,45.05,47,17,W,0,0,1023,25,1635786000,-14400
107,Michigan,Grand Rapids,2,Tue 11/2,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,33.21,42.08,56,15,W,0,0,1025,70,1635872400,-14400
108,Michigan,Grand Rapids,3,Wed 11/3,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,30.63,42.62,49,9,W,0,0,1028,49,1635958800,-14400
109,Michigan,Grand Rapids,4,Thu 11/4,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,31.08,45.09,46,10,W,0,0,1025,97,1636045200,-14400
110,Michigan,Grand Rapids,5,Fri 11/5,Clouds,few clouds,http://openweathermap.org/img/wn/02d@2x.png,34,50.83,56,12,SW,0,0,1024,17,1636131600,-14400
111,Michigan,Marquette,1,Mon 11/1,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,31.06,39.27,63,13,W,0,1.28,1019,93,1635786000,-14400
112,Michigan,Marquette,2,Tue 11/2,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,28.17,35.44,61,11,W,0,0.37,1024,79,1635872400,-14400
113,Michigan,Marquette,3,Wed 11/3,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,27.86,36.21,51,8,W,0,0,1027,44,1635958800,-14400
114,Michigan,Marquette,4,Thu 11/4,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,29.07,41.7,44,9,SW,0,0,1021,66,1636045200,-14400
115,Michigan,Marquette,5,Fri 11/5,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,31.62,48.9,56,8,S,0,0,1018,46,1636131600,-14400
116,Minnesota,Duluth,1,Mon 11/1,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,29.19,37.63,57,12,W,0,0,1023,81,1635786000,-18000
117,Minnesota,Duluth,2,Tue 11/2,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,26.01,35.46,54,9,NW,0,0,1028,80,1635872400,-18000
118,Minnesota,Duluth,3,Wed 11/3,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,25.48,38.7,49,7,SW,0,0,1028,95,1635958800,-18000
119,Minnesota,Duluth,4,Thu 11/4,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,26.13,45.86,48,9,SW,0,0,1020,1,1636045200,-18000
120,Minnesota,Duluth,5,Fri 11/5,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,31.87,50.49,63,9,S,0,0,1016,62,1636131600,-18000
121,Minnesota,Chanhassen/Twin Cities,1,Mon 11/1,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,30.88,41.67,47,13,W,0,0,1027,4,1635786000,-18000
122,Minnesota,Chanhassen/Twin Cities,2,Tue 11/2,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,27.1,41.18,47,8,W,0,0,1030,8,1635872400,-18000
123,Minnesota,Chanhassen/Twin Cities,3,Wed 11/3,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,28.17,42.04,44,5,SW,0,0,1029,71,1635958800,-18000
124,Minnesota,Chanhassen/Twin Cities,4,Thu 11/4,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,31.19,50.81,56,9,S,0,0,1022,2,1636045200,-18000
125,Minnesota,Chanhassen/Twin Cities,5,Fri 11/5,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,38.03,55.36,54,15,S,0,0,1016,7,1636131600,-18000
126,Missouri,Kansas City/Pleasant Hill,1,Mon 11/1,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,37.76,46.71,58,8,NE,0.12,0,1030,100,1635789600,-18000
127,Missouri,Kansas City/Pleasant Hill,2,Tue 11/2,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,36.36,47.1,55,6,NE,0,0,1030,99,1635876000,-18000
128,Missouri,Kansas City/Pleasant Hill,3,Wed 11/3,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,35.28,49.6,38,7,NE,0,0,1029,100,1635962400,-18000
129,Missouri,Kansas City/Pleasant Hill,4,Thu 11/4,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,32.88,51.46,42,6,SE,0,0,1027,7,1636048800,-18000
130,Missouri,Kansas City/Pleasant Hill,5,Fri 11/5,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,33.15,54.79,44,12,S,0,0,1022,0,1636135200,-18000
131,Missouri,Springfield,1,Mon 11/1,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,38.98,46.22,60,10,NE,6.53,0,1028,100,1635786000,-18000
132,Missouri,Springfield,2,Tue 11/2,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,39.24,42.04,86,7,NE,8.26,0,1030,100,1635872400,-18000
133,Missouri,Springfield,3,Wed 11/3,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,36.5,46.8,62,9,E,1.08,0,1028,100,1635958800,-18000
134,Missouri,Springfield,4,Thu 11/4,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,31.39,49.28,41,6,NE,0,0,1027,0,1636045200,-18000
135,Missouri,Springfield,5,Fri 11/5,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,32.29,52.34,43,10,SE,0,0,1024,0,1636131600,-18000
136,Missouri,St. Louis,1,Mon 11/1,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,39.4,48.87,39,9,NW,0.7,0,1029,100,1635786000,-18000
137,Missouri,St. Louis,2,Tue 11/2,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,36.28,49.5,51,6,NW,0,0,1030,46,1635872400,-18000
138,Missouri,St. Louis,3,Wed 11/3,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,37.47,48.63,38,6,N,0,0,1029,100,1635958800,-18000
139,Missouri,St. Louis,4,Thu 11/4,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,33.31,49.64,35,4,N,0,0,1027,0,1636045200,-18000
140,Missouri,St. Louis,5,Fri 11/5,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,35.56,53.91,31,8,SE,0,0,1025,0,1636131600,-18000
141,Nebraska,Hastings,1,Mon 11/1,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,32.22,43.11,99,7,N,1.57,5.8,1031,100,1635789600,-18000
142,Nebraska,Hastings,2,Tue 11/2,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,34.97,43.59,70,5,S,0,0,1030,100,1635876000,-18000
143,Nebraska,Hastings,3,Wed 11/3,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,39.11,43.97,72,9,S,0,0,1028,98,1635962400,-18000
144,Nebraska,Hastings,4,Thu 11/4,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,36.05,56.17,60,12,S,0,0,1022,0,1636048800,-18000
145,Nebraska,Hastings,5,Fri 11/5,Clouds,few clouds,http://openweathermap.org/img/wn/02d@2x.png,39.49,60.78,55,20,S,0,0,1013,17,1636135200,-18000
146,Nebraska,North Platte,1,Mon 11/1,Snow,snow,http://openweathermap.org/img/wn/13d@2x.png,32.29,37.72,98,6,S,0,7.14,1030,100,1635789600,-18000
147,Nebraska,North Platte,2,Tue 11/2,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,35.8,37.53,96,9,SE,0,0,1029,100,1635876000,-18000
148,Nebraska,North Platte,3,Wed 11/3,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,37,45,86,9,S,0,0,1027,100,1635962400,-18000
149,Nebraska,North Platte,4,Thu 11/4,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,36.84,59.9,49,16,SE,0,0,1019,0,1636048800,-18000
150,Nebraska,North Platte,5,Fri 11/5,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,40.59,68.65,42,21,W,0,0,1009,34,1636135200,-18000
151,Nebraska,Omaha/Valley,1,Mon 11/1,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,39.25,45.55,58,8,SW,0,0.11,1030,100,1635789600,-18000
152,Nebraska,Omaha/Valley,2,Tue 11/2,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,32.86,47.93,49,4,SE,0,0,1030,5,1635876000,-18000
